date,campus,level,record_type,address,zip,status,violation_count,violations
2026-04-22,FOREST BROOK MIDDLE SCHOOL,Middle / Jr. High,grease_trap,7525 TIDWELL RD HOUSTON TX,77016,OPEN,0,
2026-04-22,FOREST BROOK MIDDLE SCHOOL,Middle / Jr. High,inspection,7525 TIDWELL RD HOUSTON TX,77016,OPEN,3,1 Houston Ordinance Violation: 5-501.114 (Violation) | 2 Houston Ordinance Violation: 5-501.112(B) (Violation) | 3 Houston Ordinance Violation: 6-101.11(A)(1) (Violation)
2026-04-22,ALLEN ALDRIDGE JR. ELEMENTARY SCHOOL,Elementary,inspection,15817 BLUE RIDGE RD MISSOURI CITY TX,77489,OPEN,0,
2026-04-22,ALLEN ALDRIDGE JR. ELEMENTARY SCHOOL,Elementary,inspection,15817 BLUE RIDGE RD MISSOURI CITY TX,77489,OPEN,7,1 Houston Ordinance Violation: 5-202.12(C) (Violation) | 2 Houston Ordinance Violation: TAC-228.31(a) (Violation) | 3 Houston Ordinance Violation: TAC-228.32 (Violation) | 4 Houston Ordinance Violation: 4-101.16 (Violation) | 5 Houston Ordinance Violation: 4-402.11(A)(3) (Violation) | 6 Houston Ordinance Violation: 5-501.114 (Violation) | 7 Houston Ordinance Violation: 6-501.11 (Violation)
2026-04-22,ALLEN ALDRIDGE JR. ELEMENTARY SCHOOL,Elementary,grease_trap,15817 BLUE RIDGE RD MISSOURI CITY TX,77489,OPEN,1,1 Houston Ordinance Violation: COH-47-522 (Violation)
2026-04-22,ALDINE NINTH GRADE,Middle / Jr. High,grease_trap,10650 NORTH FWY HOUSTON TX,77037,OPEN,0,
2026-04-22,ALDINE NINTH GRADE,Middle / Jr. High,inspection,10650 NORTH FWY HOUSTON TX,77037,OPEN,0,
2026-04-22,ALDINE NINTH GRADE,Middle / Jr. High,inspection,10650 NORTH FWY HOUSTON TX,77037,OPEN,2,46 Houston Ordinance Violation: 5-501.113 (Violation) | 47 Houston Ordinance Violation: 5-501.114 (Violation)
2026-04-22,ACCELERATED INTERMEDIATE ACADEMY,Elementary,inspection,12829 SUMMIT RIDGE DR HOUSTON TX,77085,OPEN,0,
2026-04-21,THURGOOD MARSHALL ELEMENTARY,Elementary,inspection,6200 WINFIELD RD HOUSTON TX,77050,OPEN,6,1 Houston Ordinance Violation: 6-202.15(C) (Violation) | 2 Houston Ordinance Violation: 6-501.112 (Violation) | 3 Houston Ordinance Violation: 3-304.14(B) (Violation Corrected On Site) | 4 Houston Ordinance Violation: 4-302.14 (Violation Corrected On Site) | 5 Houston Ordinance Violation: 6-201.17(B) (Violation) | 6 Houston Ordinance Violation: 6-501.11 (Violation)
2026-04-21,THURGOOD MARSHALL ELEMENTARY,Elementary,grease_trap,6200 WINFIELD RD HOUSTON TX,77050,OPEN,0,
2026-04-21,SHADYDALE ELEMENTARY SCHOOL,Elementary,inspection,5905 TIDWELL RD HOUSTON TX,77016,OPEN,2,1 Houston Ordinance Violation: 6-501.112 (Violation Corrected On Site) | 2 Houston Ordinance Violation: 3-304.14(B) (Violation Corrected On Site)
2026-04-21,SHADYDALE ELEMENTARY SCHOOL,Elementary,grease_trap,5905 TIDWELL RD HOUSTON TX,77016,OPEN,0,
2026-04-21,R.P. HARRIS ELEMENTARY,Elementary,grease_trap,1262 MAE RD HOUSTON TX,77015,OPEN,0,
2026-04-21,R.P. HARRIS ELEMENTARY,Elementary,inspection,1262 MAE RD HOUSTON TX,77015,OPEN,1,1 Houston Ordinance Violation: 6-501.12(A) (Violation)
2026-04-20,YES PREP ELEMENTARY-SOUTHWEST CAMPUS,Elementary,inspection,5212 ANDERSON RD HOUSTON TX,77053,OPEN,1,1 Houston Ordinance Violation: 5-202.12(C) (Violation)
2026-04-20,YES PREP ELEMENTARY-SOUTHWEST CAMPUS,Elementary,inspection,5212 ANDERSON RD HOUSTON TX,77053,OPEN,3,1 Houston Ordinance Violation: 6-501.111(B) (Violation) | 2 Houston Ordinance Violation: 4-101.19 (Violation) | 3 Houston Ordinance Violation: 5-501.113 (Violation)
2026-04-20,YES PREP ELEMENTARY-SOUTHWEST CAMPUS,Elementary,inspection,5212 ANDERSON RD HOUSTON TX,77053,OPEN,0,
2026-04-20,WINDSOR VILLAGE ELEMENTARY SCHOOL,Elementary,inspection,14440 POLO HOUSTON TX,77085,OPEN,3,1 Houston Ordinance Violation: 5-202.12(C) (Violation) | 2 Houston Ordinance Violation: 4-402.11(A)(3) (Violation Repeat) | 3 Houston Ordinance Violation: 5-205.15 (Violation)
2026-04-20,WINDSOR VILLAGE ELEMENTARY SCHOOL,Elementary,inspection,14440 POLO HOUSTON TX,77085,OPEN,4,1 Houston Ordinance Violation: TAC-228.31(E) (Violation) | 2 Houston Ordinance Violation: 4-402.11(A)(3) (Violation) | 3 Houston Ordinance Violation: 6-201.13(B) (Violation) | 4 Houston Ordinance Violation: 6-501.11 (Violation)
2026-04-20,WINDSOR VILLAGE ELEMENTARY SCHOOL,Elementary,grease_trap,14440 POLO HOUSTON TX,77085,OPEN,0,
2026-04-20,NORTH FOREST HIGH SCHOOL,High School,grease_trap,10726 MESA DR HOUSTON TX,77087,OPEN,0,
2026-04-20,NORTH FOREST HIGH SCHOOL,High School,inspection,10726 MESA DR HOUSTON TX,77087,OPEN,2,1 Houston Ordinance Violation: 4-402.11(B)(1) (Violation) | 2 Houston Ordinance Violation: 4-601.11(C) (Violation)
2026-04-20,HENDERSON N.Q. ELEMENTARY,Elementary,inspection,701 SOLO HOUSTON TX,77020,OPEN,0,
2026-04-20,HENDERSON N.Q. ELEMENTARY,Elementary,grease_trap,701 SOLO HOUSTON TX,77020,OPEN,0,
2026-04-20,HENDERSON N.Q. ELEMENTARY,Elementary,inspection,701 SOLO HOUSTON TX,77020,OPEN,3,1 Houston Ordinance Violation: 2-102.12(A) (Violation) | 2 Houston Ordinance Violation: 7-102.11 (Violation) | 3 Houston Ordinance Violation: 6-501.16 (Violation Corrected On Site)
2026-04-20,HEIGHTS HS,High School,inspection,413 E 13TH ST HOUSTON TX,77008,OPEN,1,1 Houston Ordinance Violation: 6-501.18 (Violation)
2026-04-20,HEIGHTS HS,High School,grease_trap,413 E 13TH ST HOUSTON TX,77008,OPEN,0,
2026-04-20,HEIGHTS HS,High School,inspection,413 E 13TH ST HOUSTON TX,77008,OPEN,1,8 Houston Ordinance Violation: 4-602.12(A) (Violation)
2026-04-20,FONWOOD EARLY CHILDHOOD CENTER HISD,Elementary,inspection,9709 MESA HOUSTON TX,77078,OPEN,0,
2026-04-20,FONWOOD EARLY CHILDHOOD CENTER HISD,Elementary,grease_trap,9709 MESA HOUSTON TX,77078,OPEN,0,
2026-04-20,FONWOOD EARLY CHILDHOOD CENTER HISD,Elementary,inspection,9709 MESA HOUSTON TX,77078,OPEN,1,1 Houston Ordinance Violation: 4-601.11(C) (Violation)
2026-04-20,ELIOT ELEMENTARY,Elementary,inspection,6411 LAREDO HOUSTON TX,77020,OPEN,1,1 Houston Ordinance Violation: 6-201.17(A) (Violation)
2026-04-20,ELIOT ELEMENTARY,Elementary,grease_trap,6411 LAREDO HOUSTON TX,77020,OPEN,0,
